node,degree centrality
"University of British Columbia, Vancouver, Canada",290
"King's College London, UK",43
"University of Texas at Dallas, USA",188
"Imperial College London, UK",85
"University of Alberta, Edmonton, Canada",64
ETH Zurich,105
"University of Ottawa, Canada",157
"Technical University of Madrid, Spain",16
"Chinese University of Hong Kong, School of Science and Engineering, Shenzhen, China",15
Hong Kong Polytechnic University,244
"Virginia Tech, Department of Computer Science, Blacksburg, VA, USA",111
"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA",23
"National Ilan University, Yilan, Taiwan",104
"National University of Defense Technology, College of Electronic Science and Engineering, Changsha, China",21
"PLA University of Science and Technology, Nanjing, China",6
"Wuhan University, School of Computer, China",71
"City University of New York, Brooklyn College, Department of Computer and Information Science, NY, USA",148
"Royal Institute of Technology (KTH), School of ICT, Sweden",224
"Academia Sinica, Taiwan",32
"Beijing University of Posts and Telecommunications, Key Laboratory of Universal Wireless Communications, Ministry of Education, China",6
"Harbin Institute of Technology, School of Electronics and Information Engineering, Communications Research Center, Harbin, China",2
"De Montfort University, Leicester, UK",15
"University of Macau, Department of Computer and Information Science, China",138
"Huazhong University of Science and Technology, School of Computer Science and Technology, Wuhan, China",119
"Zhejiang University, The State Key Laboratory of CAD and CG, Hangzhou, China",452
"University of Connecticut, Mechanical Engineering, Storrs, CT, USA",169
"Beijing University of Posts and Telecommunications, School of Information and Communication Engineering, Beiing, China",17
"Universität Karlsruhe, Germany",118
"Delft University of Technology, Electronic Instrumentation Laboratory, The Netherlands",42
"Doshisha University, Department of Intelligent Information Engineering and Sciences, Kyoto, Japan",80
"Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Guangdong Provincial Key Laboratory of Robotics and Intelligent System, China",51
"Polytechnic University of Turin, Italy",46
"The Chinese University of Hong Kong, Hong Kong, China",33
"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",34
"Stanford University, USA",50
"University of Manchester, School of Electrical and Electronic Engineering, UK",51
"National University of Defense Technology, National Laboratory of Parallel and Distributed Processing, Changsha, China",7
"University of Paderborn, Germany",68
"West Virginia University, Morgantown, USA",12
"University of British Columbia, Human Communication Technologies Lab, Vancouver, BC, Canada",47
"University of British Columbia, School of Engineering, Okanagan Campus, Kelowna, BC, Canada",14
"Beijing University of Posts and Telecommunications, School of Information and Communication Engineering, Beijing, China",80
"Technical University Dresden, Germany",41
"Virginia Commonwealth University, Richmond, Computer Science Department",24
"Beijing University of Posts and Telecommunications, School of Information and Communication Engineering, China",45
