node,degree centrality
Canada,46
UK,37
USA,46
Spain,14
China,49
Hong Kong,32
Sweden,24
Germany,38
Netherlands,11
Japan,17
Italy,24
Singapore,30
Saudi Arabia,15
France,20
Australia,41
Greece,27
Georgia,23
Portugal,28
Austria,8
Norway,18
Cyprus,5
Brazil,8
Denmark,8
Qatar,8
Finland,11
Belgium,8
Tunisia,2
Turkey,4
India,16
Ireland,7
Jordan,7
Macau,11
Iceland,2
Luxembourg,6
Oman,4
Mexico,9
Poland,4
Faroe Islands,4
United Arab Emirates,9
Malaysia,7
Chile,8
Israel,7
New Zealand,11
Egypt,2
Switzerland,11
Russian Federation,1
Pakistan,8
Ghana,1
Slovenia,2
South Africa,5
Serbia,2
Czech Republic,2
Morocco,1
Brunei Darussalam,1
Hungary,1
Thailand,1
Bulgaria,1
Belarus,1
Lebanon,3
Armenia,1
