node,degree centrality
University of Illinois at Chicago,290
"IBM T. J. Watson Research Center, Yorktown, NY, USA",121
"Data Insights Laboratories, San Jose, CA, USA",116
IBM Research,194
"University of Modena and Reggio Emilia, Italy",24
"University of Texas at Arlington, USA",28
"Central University of Finance and Economics, School of Information, Beijing, China",32
"Ca' Foscari University of Venice, Italy",13
"Federal University of Rio Grande do Sul, Porto Alegre, Brazil",53
"Ulster University, Coleraine, UK",29
"University of Waikato, Hamilton, New Zealand",49
"ETH Zurich, Department of Biosystems Science and Engineering",23
"University of Rochester, NY, USA",7
"University of Illinois at Chicago, USA",65
"IBM Thomas J. Watson Research Center, NY, USA",35
Hong Kong Polytechnic University,238
"Xuzhou University of Technology, School of Management, China",65
"University of Technology Sydney, Australia",136
"Microsoft Research Asia, Beijing, China",640
"IBM Thomas J. Watson Research Center, Yorktown Heights, USA",21
Simon Fraser University,11
Huawei Research America,91
"National Ilan University, Yilan, Taiwan",104
"University of Notre Dame, USA",92
"University of Illinois at Urbana-Champaign, Urbana, IL, USA",40
"Tsinghua University, School of Software, Beijing, China",138
"Hong Kong University of Science and Technology, Department of Computer Science and Engineering, Hong Kong",169
"University of Saskatchewan, Saskatoon, Canada",290
"Sun Yat-Sen University, School of Data and Computer Science, Guangzhou, China",51
"University of Technology Sydney, Broadway, NSW, Australia",30
"National Taiwan University, Department of Electrical Engineering, Taipei, Taiwan",20
"Samsung Research America, Mountain View, CA, USA",20
"CSIRO, Sydney, NSW, Australia",57
"Zhejiang University, The State Key Laboratory of CAD and CG, Hangzhou, China",456
"Texas Tech University, Department of Computer Science, Lubbock, TX, USA",178
"Capital University of Economics and Business, School of Management and Engineering, Beijing, China",4
"University of California, Los Angeles, USA",63
"Sapienza University of Rome, Italy",14
"University of Liverpool, UK",32
"Tsinghua University, Department of Computer Science and Technology, Beijing, China",233
"University of California, Santa Barbara, Department of Computer Science, CA, USA",12
"University of Texas at Arlington, Department of Computer Science and Engineering, TX, USA",71
"University of California, Davis, USA",44
"Concordia University, Montreal, Canada",40
"Tsinghua University, Beijing, China",203
"University of Massachusetts, Department of Computer Science, Boston, MA, USA",39
"Indiana University, School of Library and Information Science, Bloomington, IN, USA",53
"University of Bologna, Italy",20
"Wright State University, Fairborn, Ohio, USA",52
"Baylor University, Department of Electrical and Computer Engineering, Waco, TX, USA",36
Dell EMC,54
"Carnegie Mellon University, Pittsburgh, USA",218
"Tencent Medical AI Lab, Palo Alto, CA, USA",83
"University of British Columbia, Vancouver, Canada",36
"Dartmouth College, Hanover, USA",30
"Harbin Institute of Technology, School of Natural Sciences and Humanities, Shenzhen, China",35
"Virginia Tech, Dept. of Computer Science, Blacksburg, Virginia, USA",94
"Iwate Prefectural University, Takizawa, Iwate, Japan",69
McGill University,19
Robert Gordon University,32
"University at Buffalo, NY, USA",51
"Bilkent University, Ankara, Turkey",25
University of Antwerp,35
"IBM Almaden Research Center, San Jose, USA",89
"University of Illinois at Urbana-Champaign, Department of Computer Science, IL, USA",232
"Amazon.com, Seattle, WA, USA",41
"Kennesaw State University, Department of Computer Science, Marietta, GA, USA",93
"Lehigh University, Bethlehem, PA, USA",47
"Zhejiang University, College of Information Science and Electronic Engineering, Hangzhou, China",12
"Technical University of Berlin, Department of Mathematics, Germany",24
"University of California, Berkeley, USA",62
"University of California, Riverside, Department of Computer Sience and Engineering, CA, USA",42
"Soochow University, School of Computer Science and Technology / School of Electronics and Information Engineering, Suzhou, China",102
"Google, USA",192
Noah's Ark Lab,10
"Tsinghua University, Department of Computer Science and Technology, China",79
University of Southern California Los Angeles,6
"Xiamen University, School of Information Science and Engineering, Fujian Key Laboratory of Sensing and Computing for Smart City, China",73
"University of Hong Kong, Department of Computer Science, Hong Kong",12
"National University of Defense Technology, College of Computer, Changsha, China",73
"University of Pittsburgh, Pennsylvania, USA",57
"Columbia University, New York City, USA",115
"University of Maryland, USA",52
"University of Minnesota, USA",211
