node,degree centrality
USA,57
Australia,39
Canada,38
Brazil,22
China,48
Turkey,13
Georgia,27
India,24
Germany,46
Singapore,32
Switzerland,13
Netherlands,17
France,15
Hong Kong,44
Italy,27
Qatar,15
UK,36
Spain,14
Greece,5
Luxembourg,7
Finland,12
Israel,17
Poland,8
Ireland,10
Japan,36
Oman,4
Sweden,15
Belgium,16
Croatia,1
New Zealand,24
Jordan,8
Portugal,8
Iceland,3
Mexico,6
Faroe Islands,4
Macau,19
United Arab Emirates,7
South Africa,2
Slovenia,6
Sri Lanka,1
Saudi Arabia,9
Chile,18
Denmark,10
Estonia,3
Norway,14
Austria,13
Pakistan,4
Malaysia,3
Czech Republic,5
Egypt,4
Cyprus,3
Venezuela,2
Bangladesh,2
Burundi,1
Hungary,1
Chad,1
Tunisia,1
Serbia,2
Costa Rica,1
Uruguay,1
Liechtenstein,1
Paraguay,1
Thailand,2
Argentina,1
Niger,1
Kuwait,1
Namibia,1
