node,degree centrality
Victor C. M. Leung,463
Pooyan Abouzar,4
Fumiyuki Adachi,138
Sofiène Affes,72
Farshid Agharebparast,1
Hamid Aghvami,130
Haitham M. Ahmed,0
Anton Akusok,19
Naofal Al-Dhahir,153
Tariq Al-Khasib,5
Nabil M. Al-Rousan,1
Amr Alasaad,6
Syed Hussain Ali,3
A. Nasser Aljalai,3
Hussein M. Alnuweiri,61
S. Mohsen Amiri,4
Jianping An,55
Roberto P. Antonioli,7
Xin Ao,8
Aisha Arar,3
Nasim Arianpoo,6
Lazar Atanackovic,4
Alireza Attar,13
Andrew W. Y. Au,0
Ilknur Aydin,3
Joonsang Baek,32
Gargi Bag,13
Shaozhuang Bai,2
Wenle Bai,4
Yan Bai,54
Ilangko Balasingham,85
Gaurav Bansal,37
Wei Bao,47
Bernard Barani,2
Farooq Bari,4
Javier A. Barria,13
Norman C. Beaulieu,115
Hatim M. Behairy,16
Luca Benini,473
Mehdi Bennis,153
Nik Bessis,72
Sandford Bessler,27
Konstantin Beznosov,57
Shantanu Bhate,0
Amir Bigloo,3
Sven G. Bilen,12
Michael Blackstock,17
Thomas Michael Bohnert,49
Miodrag Bolic,37
Azzedine Boukerche,218
Didier Bourse,13
Cesar Briso-Rodríguez,25
Matt Broadbent,0
Alister G. Burr,77
Wei Cai 0002,25
Zhiping Cai,67
Erik Cambria,133
Huasong Cao,5
Jiannong Cao 0001,344
Yang Cao,153
Ángel Salamanca Cardona,0
Michael Chai,0
Michael K. K. Chai,0
Asit Chakraborti,12
Chi-Kong Chan,5
Henry C. B. Chan,49
Sunny K. S. Chan,0
Chung-Ju Chang,51
J. Morris Chang,68
Kai-Di Chang,6
Kun-Nyeong Chang,3
Han-Chieh Chao,167
Periklis Chatzimisios,74
Bin Chen 0004,5
Bingcai Chen,27
Chen Chen 0010,6
Dan Chen,51
Daoxu Chen,55
Hongbin Chen,60
Hui Chen,174
Jian Chen,207
Kuan-Ta Chen,88
Kwang-Cheng Chen,128
Lei Chen 0027,6
Liang Chen 0015,3
Liming Chen,7
Long Chen,107
Min Chen 0003,150
Ruifeng Chen,10
Shanzhi Chen,67
Siguang Chen,25
Wei Chen,576
Wen-Tsuen Chen,73
Xu Chen,193
Yiqiang Chen,101
Yongrui Chen,10
Yu Chen 0006,19
Yue Chen,157
Yunfei Chen,142
Zhao Chen,45
Zhikui Chen,62
Zhonghui Chen,12
Fen Cheng,6
Hongrong Cheng,9
Julian Cheng,105
Jun Cheng,70
Jun Cheng 0002,60
Nesrine Cherif,5
Bing H. Cheung,0
Man Hon Cheung,18
Fangyuan Chi,3
Hongjun Chi,0
Kaikai Chi,31
Yuanfang Chi,3
Carla-Fabiana Chiasserini,153
Pak-Chung Ching,73
Imrich Chlamtac,69
Choong-Ho Cho,27
Yanghee Choi,80
Peter Han Joo Chong,65
Li-Der Chou,49
Wu Chou,42
Cupid C. Chow,1
Garland Chow,2
Man Chu,7
Terry H. S. Chu,3
Xiaoli Chu,88
Zheng Chu,53
John M. Cioffi,149
Ashfiqua T. Connie,3
Francesco Corona,17
Haixia Cui,7
Lianjing Cui,1
Ziyi Dai,7
Mark Damm,0
Mérouane Debbah,265
Sergio Decherchi,19
Panagiotis Demestichas,155
Jun-qi Deng,12
Ping Deng,18
Natasha Devroye,39
Tharam S. Dillon,155
Zhiguo Ding,19
Robert W. Donaldson,6
Ligang Dong,25
Ping Dong,28
Xuan Dong 0002,9
Yanjie Dong,7
Falko Dressler,110
Jiali Du,12
Jun Du,116
Weichang Du,20
Junqi Duan,7
Xuting Duan,16
Ong Mau Dung,10
Abdulmotaleb El-Saddik,166
Amr A. El-Sherif,26
Alice C. Eldridge,5
Omar Elloumi,8
Jason B. Ernst,13
Thomas Falck,8
Yaser P. Fallah,41
Jialu Fan,17
Jun Fan,50
Ye Fan,20
Fang Fang 0005,22
Jing Fang,26
Zhiyi Fang,33
Hossam Fattah,8
Sidney S. Fels,145
Chen Feng 0001,40
Guinian Feng,5
Liang Feng,63
Mengting Feng,4
Yizhi Feng,7
Zhiyong Feng 0001,158
Frank H. P. Fitzek,122
Chuan Heng Foh,76
Georgios Fotopoulos,5
Jean-François Frigon,28
Carol J. Fung,35
Chunhai Gao,3
Deyun Gao,37
Hui Gao 0001,64
Jianliang Gao,35
Ling Gao,38
Quanli Gao,5
Shuai Gao,43
Xin Gao,124
Zhenzhen Gao,31
Peter Garland,0
Paolo Gastaldo,26
Bin Ge,21
Wendong Ge,9
Xin Ge,25
Yacine Ghamri-Doudane,96
Hamid Gharavi,21
Nam Ky Giang,8
Donald W. Gillies,3
Stein Gjessing,60
Maoguo Gong,114
Yinsheng Gong,0
Sergio González-Valenzuela,6
Sathish Gopalakrishnan,23
Liqiu Gu,3
Quansheng Guan,25
