node,degree centrality
Philip S. Yu,582
Kannan Achan,17
Clive E. Adams,7
Nitin Agarwal,55
Charu C. Aggarwal,139
Rakesh Agrawal 0001,134
Nesreen K. Ahmed,29
Olusola Ajilore,44
Ronay Ak,6
Fatima Al-Garawi,2
Paul Aldridge,0
Jalal S. Alowibdi,25
Lori L. Altshuler,11
Mohammad Shafkat Amin,8
Sara Amini,3
Bo An,104
Aris Anagnostopoulos,46
Henrique Andrade,37
Mauro Andreolini,10
Akari Asai,11
Mafruz Zaman Ashrafi,3
Vassilis Athitsos,56
Sara Bahaadini,20
Jian Bai,27
Lu Bai 0001,32
Allen Ballman,0
Simonetta Balsamo,21
Bhuvan Bamba,18
Weidong Bao,29
Yungang Bao,44
Ana L. C. Bazzan,67
David A. Bell,70
B. T. Bennett,1
Anmol Bhasin,10
Md. Zakirul Alam Bhuiyan,104
Albert Bifet,73
Kashif Bilal,46
Avi Bittan,0
Rajesh Bordawekar,23
Karsten M. Borgwardt,60
Eric Bouillet,40
Max Bramer,14
Christopher Brown,17
Melissa J. Buco,17
Ugo A. Buy,11
Yanan Cai,7
Zhihua Cai,77
Erik Cambria,133
Murray Campbell,49
Claudia Canali,11
Bokai Cao,31
Jiannong Cao 0001,344
Jianping Cao,12
Jie Cao,61
Longbing Cao,160
Yue Cao 0001,13
Zhangjie Cao,18
Valeria Cardellini,25
Emiliano Casalicchio,28
Vittorio Castelli,30
Sourav Chakraborty 0004,0
Lijun Chang,30
Rong N. Chang,22
Shu-Ping Chang,4
Yi Chang,133
Yuan-Chi Chang,24
Han-Chieh Chao,167
Hong-Yang Chao,2
Sudarshan S. Chawathe,7
Nitesh V. Chawla,156
Albert Chen,9
Arbee L. P. Chen,50
Chen Chen 0005,9
Chien-Cheng Chen,6
Chin-Fu Chen,18
Enhong Chen,244
Fengwen Chen,4
Francine Chen,36
Haifeng Chen,74
Hechang Chen,10
Jeng-Chun Chen,4
Jianguo Chen,41
Jianhui Chen,64
Jun Chen 0004,4
Lei Chen 0002,188
Li Chen,339
Liang Chen 0001,41
Lien-Chin Chen,3
Ling Chen 0006,40
Ming-Syan Chen,120
Mon-Song Chen,5
Qing Chen,65
Rui Chen 0012,26
Shiping Chen 0001,91
Shixi Chen,8
Shyh-Kwei Chen,35
Wei Chen,576
Yi-Ling Chen,45
Yiqiang Chen,101
Yong Chen,159
Yufeng Chen,59
Yuguo Chen,8
Zhengzhang Chen,50
Zhensong Chen 0001,8
Hong Cheng,178
Jiefeng Cheng,21
Ming-Shan Cheng,0
Yurong Cheng,8
Yun Chi,36
Meng-Fen Chiang,14
Hao-Heng Chien,1
Moonjung Cho,2
We-Min Chow,1
Shaika Chowdhury,3
Fang Chu,7
Lingyang Chu,20
Yu-Wei Chu,3
Jen-Yao Chung,58
Bruno Ciciani,23
Frans Coenen,114
Aaron M. Cohen,22
Michele Colajanni,34
Michael W. Cole,13
Douglas W. Cornell,5
Limeng Cui,16
Lixin Cui,16
Peng Cui 0001,83
Qingcai Cui,0
Yang Dai,29
Asit Dan,21
Xuan-Hong Dang,16
Gautam Das 0001,97
Ian Davidson,57
John M. Davis,10
Bo Deng,21
Qingying Deng,2
Zhi-Hong Deng,61
Bipin C. Desai,30
Daniel M. Dias,32
Bolin Ding,59
Guiguang Ding,69
Hao Ding,61
Wei Ding 0003,75
Xiaowen Ding,1
Ying Ding 0001,90
Lorenzo Donatiello,17
Bowen Dong,6
Guozhu Dong,56
Liang Dong,26
Zhenhua Dong,22
Myungcheol Doo,6
Yingtong Dou,6
Fred Douglis,50
Kevin Drummey,0
Bo Du,110
Bowen Du,72
Junping Du,82
Linfeng Du,10
Nan Du,92
Zhidian Du,6
Eugene Dubossarsky,0
Lorna Duggan,0
Andrea Edwards,7
Tina Eliassi-Rad,49
Sherry Emery,7
Marina A. Epelman,13
Christos Faloutsos,315
Wei Fan 0001,106
Ziwei Fan,6
Binxing Fang,131
Amin Milani Fard,4
Wenjie Feng,27
Lisa Fleischer,39
Danilo Florissi,10
Philippe Fournier-Viger,85
Edward A. Fox,213
Pascal Frossard,153
Ada Wai-Chee Fu,71
Di Fu,26
Hanjie Fu,0
Wenjing Fu,8
Yan Fu,62
Yanjie Fu,65
Yuwei Fu,2
Hamido Fujita,156
Benjamin C. M. Fung,38
Gabriel Pui Cheong Fung,31
Mohamed Medhat Gaber,70
Wensheng Gan,15
Jianwei Gao,20
Jing Gao 0004,88
Wenxuan Gao,2
Yali Gao,13
Yu Gao,62
Yunquan Gao,3
Zhifeng Gao,20
Stephen C. Gates,6
Shuaijun Ge,3
Bugra Gedik,39
David George,34
Sohaib Ghani,25
Joydeep Ghosh,119
Jason Glasgow,1
Gregory Glass,0
Bart Goethals,55
Qiran Gong,9
Yu Gong,85
Vladimir Gorodetsky,19
Rama Govindaraju,7
Warwick Graco,5
David Grangier,42
Ed Greengrass,0
Arthur Gretton,89
Robert L. Grossman,95
Quanquan Gu,47
Xiaohui Gu,34
Yunhong Gu,15
Jiaping Gui,15
Gaoyang Guo,4
Mengying Guo,9
Minyi Guo,226
Naiwang Guo,7
Qinlong Guo,6
Songtao Guo,66
Stephen Guo,15
Yuchen Guo,37
Zhen Guo,44
Satyajit Gupte,1
Laura M. Haas,104
Acquah Hackman,2
Marios Hadjieleftheriou,36
Joelle Hallak,0
Chao Han,42
Jiawei Han 0001,426
Jiayu Han,19
Shuguo Han,7
Xiaobing Han,2
Xiaotian Han,4
David J. Hand,26
Zhifeng Hao,84
Kazuma Hashimoto,9
Bowei He,4
Hao He,66
Jing He,102
