node,degree centrality
Victor C. M. Leung,0.014271183306106093
Pooyan Abouzar,0.00012329316031193168
Fumiyuki Adachi,0.004253614030761643
Sofiène Affes,0.0022192768856147704
Farshid Agharebparast,3.082329007798292e-05
Hamid Aghvami,0.00400702771013778
Haitham M. Ahmed,0.0
Anton Akusok,0.0005856425114816755
Naofal Al-Dhahir,0.004715963381931387
Tariq Al-Khasib,0.0001541164503899146
Nabil M. Al-Rousan,3.082329007798292e-05
Amr Alasaad,0.00018493974046789751
Syed Hussain Ali,9.246987023394876e-05
A. Nasser Aljalai,9.246987023394876e-05
Hussein M. Alnuweiri,0.0018802206947569583
S. Mohsen Amiri,0.00012329316031193168
Jianping An,0.0016952809542890607
Roberto P. Antonioli,0.00021576303054588044
Xin Ao,0.00024658632062386337
Aisha Arar,9.246987023394876e-05
Nasim Arianpoo,0.00018493974046789751
Lazar Atanackovic,0.00012329316031193168
Alireza Attar,0.00040070277101377796
Andrew W. Y. Au,0.0
Ilknur Aydin,9.246987023394876e-05
Joonsang Baek,0.0009863452824954535
Gargi Bag,0.00040070277101377796
Shaozhuang Bai,6.164658015596584e-05
Wenle Bai,0.00012329316031193168
Yan Bai,0.0016644576642110777
Ilangko Balasingham,0.002619979656628548
Gaurav Bansal,0.001140461732885368
Wei Bao,0.0014486946336651973
Bernard Barani,6.164658015596584e-05
Farooq Bari,0.00012329316031193168
Javier A. Barria,0.00040070277101377796
Norman C. Beaulieu,0.0035446783589680357
Hatim M. Behairy,0.0004931726412477267
Luca Benini,0.014579416206885921
Mehdi Bennis,0.004715963381931387
Nik Bessis,0.0022192768856147704
Sandford Bessler,0.0008322288321055388
Konstantin Beznosov,0.0017569275344450266
Shantanu Bhate,0.0
Amir Bigloo,9.246987023394876e-05
Sven G. Bilen,0.00036987948093579503
Michael Blackstock,0.0005239959313257097
Thomas Michael Bohnert,0.0015103412138211631
Miodrag Bolic,0.001140461732885368
Azzedine Boukerche,0.006719477237000277
Didier Bourse,0.00040070277101377796
Cesar Briso-Rodríguez,0.000770582251949573
Matt Broadbent,0.0
Alister G. Burr,0.002373393336004685
Wei Cai 0002,0.000770582251949573
Zhiping Cai,0.0020651604352248556
Erik Cambria,0.004099497580371729
Huasong Cao,0.0001541164503899146
Jiannong Cao 0001,0.010603211786826125
Yang Cao,0.004715963381931387
Ángel Salamanca Cardona,0.0
Michael Chai,0.0
Michael K. K. Chai,0.0
Asit Chakraborti,0.00036987948093579503
Chi-Kong Chan,0.0001541164503899146
Henry C. B. Chan,0.0015103412138211631
Sunny K. S. Chan,0.0
Chung-Ju Chang,0.001571987793977129
J. Morris Chang,0.0020959837253028387
Kai-Di Chang,0.00018493974046789751
Kun-Nyeong Chang,9.246987023394876e-05
Han-Chieh Chao,0.0051474894430231476
Periklis Chatzimisios,0.002280923465770736
Bin Chen 0004,0.0001541164503899146
Bingcai Chen,0.0008322288321055388
Chen Chen 0010,0.00018493974046789751
Dan Chen,0.001571987793977129
Daoxu Chen,0.0016952809542890607
Hongbin Chen,0.0018493974046789752
Hui Chen,0.005363252473569028
Jian Chen,0.006380421046142465
Kuan-Ta Chen,0.0027124495268624972
Kwang-Cheng Chen,0.003945381129981814
Lei Chen 0027,0.00018493974046789751
Liang Chen 0015,9.246987023394876e-05
Liming Chen,0.00021576303054588044
Long Chen,0.0032980920383441728
Min Chen 0003,0.004623493511697438
Ruifeng Chen,0.0003082329007798292
Shanzhi Chen,0.0020651604352248556
Siguang Chen,0.000770582251949573
Wei Chen,0.017754215084918163
Wen-Tsuen Chen,0.0022501001756927534
Xu Chen,0.005948894985050704
Yiqiang Chen,0.003113152297876275
Yongrui Chen,0.0003082329007798292
Yu Chen 0006,0.0005856425114816755
Yue Chen,0.004839256542243319
Yunfei Chen,0.004376907191073575
Zhao Chen,0.0013870480535092314
Zhikui Chen,0.001911043984834941
Zhonghui Chen,0.00036987948093579503
Fen Cheng,0.00018493974046789751
Hongrong Cheng,0.0002774096107018463
Julian Cheng,0.0032364454581882067
Jun Cheng,0.0021576303054588043
Jun Cheng 0002,0.0018493974046789752
Nesrine Cherif,0.0001541164503899146
Bing H. Cheung,0.0
Man Hon Cheung,0.0005548192214036926
Fangyuan Chi,9.246987023394876e-05
Hongjun Chi,0.0
Kaikai Chi,0.0009555219924174706
Yuanfang Chi,9.246987023394876e-05
Carla-Fabiana Chiasserini,0.004715963381931387
Pak-Chung Ching,0.0022501001756927534
Imrich Chlamtac,0.0021268070153808217
Choong-Ho Cho,0.0008322288321055388
Yanghee Choi,0.002465863206238634
Peter Han Joo Chong,0.00200351385506889
Li-Der Chou,0.0015103412138211631
Wu Chou,0.0012945781832752828
Cupid C. Chow,3.082329007798292e-05
Garland Chow,6.164658015596584e-05
Man Chu,0.00021576303054588044
Terry H. S. Chu,9.246987023394876e-05
Xiaoli Chu,0.0027124495268624972
Zheng Chu,0.0016336343741330949
John M. Cioffi,0.0045926702216194555
Ashfiqua T. Connie,9.246987023394876e-05
Francesco Corona,0.0005239959313257097
Haixia Cui,0.00021576303054588044
