node,degree centrality
"University of British Columbia, Vancouver, Canada",0.056862745098039215
"King's College London, UK",0.008431372549019607
"University of Texas at Dallas, USA",0.03686274509803921
"Imperial College London, UK",0.016666666666666666
"University of Alberta, Edmonton, Canada",0.012549019607843137
ETH Zurich,0.020588235294117647
"University of Ottawa, Canada",0.030784313725490196
"Technical University of Madrid, Spain",0.003137254901960784
"Chinese University of Hong Kong, School of Science and Engineering, Shenzhen, China",0.0029411764705882353
Hong Kong Polytechnic University,0.04784313725490196
"Virginia Tech, Department of Computer Science, Blacksburg, VA, USA",0.02176470588235294
"University of South Florida, Department of Electrical Engineering, Tampa, FL, USA",0.0045098039215686276
"National Ilan University, Yilan, Taiwan",0.020392156862745096
"National University of Defense Technology, College of Electronic Science and Engineering, Changsha, China",0.004117647058823529
"PLA University of Science and Technology, Nanjing, China",0.001176470588235294
"Wuhan University, School of Computer, China",0.01392156862745098
"City University of New York, Brooklyn College, Department of Computer and Information Science, NY, USA",0.029019607843137254
"Royal Institute of Technology (KTH), School of ICT, Sweden",0.04392156862745098
"Academia Sinica, Taiwan",0.006274509803921568
"Beijing University of Posts and Telecommunications, Key Laboratory of Universal Wireless Communications, Ministry of Education, China",0.001176470588235294
"Harbin Institute of Technology, School of Electronics and Information Engineering, Communications Research Center, Harbin, China",0.000392156862745098
"De Montfort University, Leicester, UK",0.0029411764705882353
"University of Macau, Department of Computer and Information Science, China",0.027058823529411764
"Huazhong University of Science and Technology, School of Computer Science and Technology, Wuhan, China",0.02333333333333333
"Zhejiang University, The State Key Laboratory of CAD and CG, Hangzhou, China",0.08862745098039215
"University of Connecticut, Mechanical Engineering, Storrs, CT, USA",0.03313725490196078
"Beijing University of Posts and Telecommunications, School of Information and Communication Engineering, Beiing, China",0.003333333333333333
"Universität Karlsruhe, Germany",0.023137254901960783
"Delft University of Technology, Electronic Instrumentation Laboratory, The Netherlands",0.008235294117647058
"Doshisha University, Department of Intelligent Information Engineering and Sciences, Kyoto, Japan",0.01568627450980392
"Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Guangdong Provincial Key Laboratory of Robotics and Intelligent System, China",0.01
"Polytechnic University of Turin, Italy",0.009019607843137255
"The Chinese University of Hong Kong, Hong Kong, China",0.006470588235294118
"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",0.006666666666666666
"Stanford University, USA",0.00980392156862745
"University of Manchester, School of Electrical and Electronic Engineering, UK",0.01
"National University of Defense Technology, National Laboratory of Parallel and Distributed Processing, Changsha, China",0.0013725490196078432
"University of Paderborn, Germany",0.013333333333333332
"West Virginia University, Morgantown, USA",0.002352941176470588
"University of British Columbia, Human Communication Technologies Lab, Vancouver, BC, Canada",0.009215686274509803
"University of British Columbia, School of Engineering, Okanagan Campus, Kelowna, BC, Canada",0.0027450980392156863
"Beijing University of Posts and Telecommunications, School of Information and Communication Engineering, Beijing, China",0.01568627450980392
"Technical University Dresden, Germany",0.00803921568627451
"Virginia Commonwealth University, Richmond, Computer Science Department",0.004705882352941176
"Beijing University of Posts and Telecommunications, School of Information and Communication Engineering, China",0.008823529411764706
"King Abdullah University of Science and Technology, Computer, Electrical and Mathematical Sciences and Engineering Division, Thuwal, Saudi Arabia",0.018431372549019606
"University of British Columbia, Vancouver, Department of Electrical and Computer Engineering",0.000980392156862745
"University of British Columbia, Canada",0.004901960784313725
"Dalian University of Technology, School of Software Technology, China",0.009607843137254901
"Paul Sabatier University, Toulouse, France",0.02196078431372549
"Harbin Institute of Technology, School of Electronics and Information Engineering, Communication Research Center, China",0.025098039215686273
"Hong Kong Polytechnic University, Department of Computing, Hong Kong",0.02764705882352941
"CSIRO, Canberra, Australia",0.010392156862745097
"Western Sydney University, School of Computing, Engineering and Mathematics, Parramatta, NSW, Australia",0.022156862745098038
University of British Columbia,0.0013725490196078432
"University of Connecticut, School of Electrical and Computer Engineering, Storrs, CT, USA",0.01764705882352941
"University of Houston, USA",0.044117647058823525
"University of Southampton, UK",0.04372549019607843
"Carleton University, Department of Systems and Computer Engineering, Ottawa, ON, Canada",0.002549019607843137
"Department of Electrical and Computer Engineering, University of Manitoba, Manitoba, Canada",0.011176470588235293
" The University of British Columbia, Kelowna, BC, Canada",0.001176470588235294
"Lanzhou University, School of Information Science and Engineering, China",0.041176470588235294
"University of New South Wales at the Australian Defence Force Academy, UNSW@ADFA, Canberra, ACT, Australia",0.013137254901960783
"University of Notre Dame, Department of Computer Science and Engineering, IN, USA",0.01980392156862745
"Nanyang Technological University, Singapore",0.04450980392156863
"Beijing University of Posts and Telecommunications, State Key Laboratory of Networking and Switching Technology, China",0.031568627450980394
"University of Canberra, ESTEM Faculty, ACT, Australia",0.003333333333333333
"Tsinghua University, Department of Electronic Engineering, Beijing, China",0.02529411764705882
"Chinese University of Hongkong at Shenzhen, China",0.012156862745098038
"University of Sydney, Australia",0.013529411764705882
"Beijing University of Posts and Telecommunications, Beijing, China",0.005294117647058823
"Xidian University, Xi'an, China",0.007647058823529411
"Huazhong University of Science and Technology, School of Computer Science and Technology, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, Wuhan, China",0.0592156862745098
"Aristotle University of Thessaloniki, Greece",0.01784313725490196
"Yonsei University, Department of Electrical and Electronic Engineering, Biometrics Engineering Research Center, Seoul, South Korea",0.002156862745098039
"Khalifa University of Science, Technology and Research, Abu Dhabi, UAE",0.002156862745098039
"Cornell University, Ithaca, NY, USA",0.008823529411764706
University of Hong Kong,0.022156862745098038
"Seoul National University, School of Computer Science and Engineering, Seoul, South Korea",0.008627450980392156
