node,degree centrality
University of Illinois at Chicago,0.04932811702670522
"IBM T. J. Watson Research Center, Yorktown, NY, USA",0.02058173158700459
"Data Insights Laboratories, San Jose, CA, USA",0.01973124681068209
IBM Research,0.03299880932131315
"University of Modena and Reggio Emilia, Italy",0.004082326926348018
"University of Texas at Arlington, USA",0.004762714747406021
"Central University of Finance and Economics, School of Information, Beijing, China",0.005443102568464024
"Ca' Foscari University of Venice, Italy",0.00221126041843851
"Federal University of Rio Grande do Sul, Porto Alegre, Brazil",0.00901513862901854
"Ulster University, Coleraine, UK",0.004932811702670522
"University of Waikato, Hamilton, New Zealand",0.008334750807960537
"ETH Zurich, Department of Biosystems Science and Engineering",0.003912229971083517
"University of Rochester, NY, USA",0.0011906786868515053
"University of Illinois at Chicago, USA",0.01105630209219255
"IBM Thomas J. Watson Research Center, NY, USA",0.005953393434257526
Hong Kong Polytechnic University,0.04048307535295118
"Xuzhou University of Technology, School of Management, China",0.01105630209219255
"University of Technology Sydney, Australia",0.023133185915972104
"Microsoft Research Asia, Beijing, China",0.10886205136928048
"IBM Thomas J. Watson Research Center, Yorktown Heights, USA",0.003572036060554516
Simon Fraser University,0.0018710665079095083
Huawei Research America,0.01547882292906957
"National Ilan University, Yilan, Taiwan",0.01769008334750808
"University of Notre Dame, USA",0.01564891988433407
"University of Illinois at Urbana-Champaign, Urbana, IL, USA",0.00680387821058003
"Tsinghua University, School of Software, Beijing, China",0.023473379826501103
"Hong Kong University of Science and Technology, Department of Computer Science and Engineering, Hong Kong",0.028746385439700626
"University of Saskatchewan, Saskatoon, Canada",0.04932811702670522
"Sun Yat-Sen University, School of Data and Computer Science, Guangzhou, China",0.008674944718489539
"University of Technology Sydney, Broadway, NSW, Australia",0.005102908657935022
"National Taiwan University, Department of Electrical Engineering, Taipei, Taiwan",0.003401939105290015
"Samsung Research America, Mountain View, CA, USA",0.003401939105290015
"CSIRO, Sydney, NSW, Australia",0.009695526450076543
"Zhejiang University, The State Key Laboratory of CAD and CG, Hangzhou, China",0.07756421160061235
"Texas Tech University, Department of Computer Science, Lubbock, TX, USA",0.030277258037081135
"Capital University of Economics and Business, School of Management and Engineering, Beijing, China",0.000680387821058003
"University of California, Los Angeles, USA",0.010716108181663547
"Sapienza University of Rome, Italy",0.0023813573737030106
"University of Liverpool, UK",0.005443102568464024
"Tsinghua University, Department of Computer Science and Technology, Beijing, China",0.03963259057662868
"University of California, Santa Barbara, Department of Computer Science, CA, USA",0.002041163463174009
"University of Texas at Arlington, Department of Computer Science and Engineering, TX, USA",0.012076883823779553
"University of California, Davis, USA",0.007484266031638033
"Concordia University, Montreal, Canada",0.00680387821058003
"Tsinghua University, Beijing, China",0.034529681918693655
"University of Massachusetts, Department of Computer Science, Boston, MA, USA",0.006633781255315529
"Indiana University, School of Library and Information Science, Bloomington, IN, USA",0.00901513862901854
"University of Bologna, Italy",0.003401939105290015
"Wright State University, Fairborn, Ohio, USA",0.00884504167375404
"Baylor University, Department of Electrical and Computer Engineering, Waco, TX, USA",0.006123490389522027
Dell EMC,0.00918523558428304
"Carnegie Mellon University, Pittsburgh, USA",0.03708113624766116
"Tencent Medical AI Lab, Palo Alto, CA, USA",0.014118047286953563
"University of British Columbia, Vancouver, Canada",0.006123490389522027
"Dartmouth College, Hanover, USA",0.005102908657935022
"Harbin Institute of Technology, School of Natural Sciences and Humanities, Shenzhen, China",0.005953393434257526
"Virginia Tech, Dept. of Computer Science, Blacksburg, Virginia, USA",0.01598911379486307
"Iwate Prefectural University, Takizawa, Iwate, Japan",0.011736689913250551
McGill University,0.003231842150025514
Robert Gordon University,0.005443102568464024
"University at Buffalo, NY, USA",0.008674944718489539
"Bilkent University, Ankara, Turkey",0.004252423881612519
University of Antwerp,0.005953393434257526
"IBM Almaden Research Center, San Jose, USA",0.015138629018540567
"University of Illinois at Urbana-Champaign, Department of Computer Science, IL, USA",0.03946249362136418
"Amazon.com, Seattle, WA, USA",0.006973975165844531
"Kennesaw State University, Department of Computer Science, Marietta, GA, USA",0.01581901683959857
"Lehigh University, Bethlehem, PA, USA",0.007994556897431535
"Zhejiang University, College of Information Science and Electronic Engineering, Hangzhou, China",0.002041163463174009
"Technical University of Berlin, Department of Mathematics, Germany",0.004082326926348018
"University of California, Berkeley, USA",0.010546011226399046
"University of California, Riverside, Department of Computer Sience and Engineering, CA, USA",0.007144072121109032
"Soochow University, School of Computer Science and Technology / School of Electronics and Information Engineering, Suzhou, China",0.017349889436979078
"Google, USA",0.032658615410784145
Noah's Ark Lab,0.0017009695526450075
"Tsinghua University, Department of Computer Science and Technology, China",0.01343765946589556
University of Southern California Los Angeles,0.0010205817315870045
"Xiamen University, School of Information Science and Engineering, Fujian Key Laboratory of Sensing and Computing for Smart City, China",0.012417077734308555
"University of Hong Kong, Department of Computer Science, Hong Kong",0.002041163463174009
"National University of Defense Technology, College of Computer, Changsha, China",0.012417077734308555
"University of Pittsburgh, Pennsylvania, USA",0.009695526450076543
"Columbia University, New York City, USA",0.019561149855417587
"University of Maryland, USA",0.00884504167375404
"University of Minnesota, USA",0.035890457560809656
"University of California, Riverside, USA",0.016839598571185575
Chinese University of Hong Kong,0.022963088960707603
"University of Tokyo, Japan",0.009695526450076543
"Boston University, USA",0.006463684300051028
"Koç University, Istanbul, Turkey",0.0018710665079095083
"Ludwig Maximilian University of Munich, Germany",0.013777853376424561
"University of Massachusetts Amherst, USA",0.008504847763225038
"Thomas J. Watson Research Center, Yorktown Heights, USA",0.003912229971083517
"Pennsylvania State University, University Park, USA",0.012587174689573056
"Georgia Institute of Technology, Atlanta GA, USA",0.010035720360605545
"Fudan University, School of Computer Science, Shanghai, China",0.007654362986902534
