node,degree centrality
Philip S. Yu,0.016601534643580454
Kannan Achan,0.0004849245514447899
Clive E. Adams,0.00019967481530079584
Nitin Agarwal,0.0015688735487919673
Charu C. Aggarwal,0.003964971332401517
Rakesh Agrawal 0001,0.0038223464643295205
Nesreen K. Ahmed,0.0008272242348175828
Olusola Ajilore,0.0012550988390335738
Ronay Ak,0.00017114984168639644
Fatima Al-Garawi,5.704994722879881e-05
Paul Aldridge,0.0
Jalal S. Alowibdi,0.0007131243403599852
Lori L. Altshuler,0.00031377470975839345
Mohammad Shafkat Amin,0.00022819978891519524
Sara Amini,8.557492084319822e-05
Bo An,0.002966597255897538
Aris Anagnostopoulos,0.0013121487862623727
Henrique Andrade,0.001055424023732778
Mauro Andreolini,0.0002852497361439941
Akari Asai,0.00031377470975839345
Mafruz Zaman Ashrafi,8.557492084319822e-05
Vassilis Athitsos,0.0015973985224063667
Sara Bahaadini,0.0005704994722879882
Jian Bai,0.0007701742875887839
Lu Bai 0001,0.000912799155660781
Allen Ballman,0.0
Simonetta Balsamo,0.0005990244459023875
Bhuvan Bamba,0.0005134495250591893
Weidong Bao,0.0008272242348175828
Yungang Bao,0.0012550988390335738
Ana L. C. Bazzan,0.0019111732321647602
David A. Bell,0.0019967481530079583
B. T. Bennett,2.8524973614399406e-05
Anmol Bhasin,0.0002852497361439941
Md. Zakirul Alam Bhuiyan,0.002966597255897538
Albert Bifet,0.0020823230738511566
Kashif Bilal,0.0013121487862623727
Avi Bittan,0.0
Rajesh Bordawekar,0.0006560743931311863
Karsten M. Borgwardt,0.0017114984168639642
Eric Bouillet,0.0011409989445759763
Max Bramer,0.0003993496306015917
Christopher Brown,0.0004849245514447899
Melissa J. Buco,0.0004849245514447899
Ugo A. Buy,0.00031377470975839345
Yanan Cai,0.00019967481530079584
Zhihua Cai,0.0021964229683087543
Erik Cambria,0.003793821490715121
Murray Campbell,0.001397723707105571
Claudia Canali,0.00031377470975839345
Bokai Cao,0.0008842741820463815
